username,month,total_engagement,text_length,retweet_count,reply_count,like_count,quote_count,tweet_count
DrLupo,2025-04,146.78571428571428,103.21428571428571,17.071428571428573,6.0,123.42857142857143,0.2857142857142857,14
DrLupo,2025-05,6657.0,232.25,80.5,1285.0,5115.75,175.75,4
DrLupo,2025-06,515.0,105.0,9.0,52.0,452.0,2.0,1
Jacksepticeye,2024-12,31189.0,64.0,1040.0,258.0,29859.0,32.0,1
Jacksepticeye,2025-01,41522.0,235.0,2084.0,169.0,39260.0,9.0,1
Jacksepticeye,2025-02,28509.5,83.0,1729.5,1395.5,25223.5,161.0,2
Jacksepticeye,2025-03,88478.0,133.33333333333334,7903.666666666667,2623.3333333333335,77781.0,170.0,3
Jacksepticeye,2025-04,24920.333333333332,96.66666666666667,485.0,372.3333333333333,23984.333333333332,78.66666666666667,3
Jacksepticeye,2025-05,14340.0,84.4,653.4,132.2,13539.4,15.0,5
Jacksepticeye,2025-06,23068.0,50.0,552.0,318.0,22131.0,67.0,1
Jynxzi,2024-12,29144.666666666668,139.66666666666666,161.33333333333334,352.0,28615.666666666668,15.666666666666666,3
Jynxzi,2025-01,309.0,98.0,309.0,0.0,0.0,0.0,1
Jynxzi,2025-02,3095.5,123.5,661.75,45.25,2384.75,3.75,4
Jynxzi,2025-03,37934.0,39.0,553.0,146.0,37230.0,5.0,1
Jynxzi,2025-04,14211.0,32.5,434.5,128.0,13581.5,67.0,2
Jynxzi,2025-05,1344.25,82.5,63.0,39.0,1241.0,1.25,4
Jynxzi,2025-06,8521.0,122.0,2167.0,1820.0,4524.0,10.0,1
LazarBeam,2024-12,34608.57142857143,68.57142857142857,650.7142857142857,363.85714285714283,33559.857142857145,34.142857142857146,7
LazarBeam,2025-02,10378.666666666666,80.66666666666667,219.66666666666666,84.66666666666667,10071.666666666666,2.6666666666666665,3
LazarBeam,2025-03,34193.333333333336,34.333333333333336,639.3333333333334,157.0,33371.666666666664,25.333333333333332,3
LazarBeam,2025-05,3688.0,77.0,44.0,203.0,3438.0,3.0,1
Myth_,2025-05,1380.1666666666667,108.66666666666667,12.75,56.833333333333336,1307.9166666666667,2.6666666666666665,12
Myth_,2025-06,180.0,73.0,3.0,7.0,170.0,0.0,1
Ninja,2025-03,933.0,109.0,933.0,0.0,0.0,0.0,2
Ninja,2025-04,5892.8,78.4,221.0,127.0,5511.8,33.0,5
Ninja,2025-05,2766.9,116.9,130.3,33.2,2594.7,8.7,10
OMGitsAliA,2025-05,3696.8333333333335,76.05555555555556,73.27777777777777,47.44444444444444,3571.8888888888887,4.222222222222222,18
OMGitsAliA,2025-06,408.0,52.5,18.5,12.0,376.5,1.0,2
Pokelawls,2025-03,286.5,41.75,3.0,21.25,262.0,0.25,4
Pokelawls,2025-04,275.5,64.9,3.2,18.0,254.1,0.2,10
Pokelawls,2025-05,293.0,78.0,1.5,10.0,281.0,0.5,2
SSSniperWolf,2024-11,795.0,146.0,19.0,111.0,659.0,6.0,1
SSSniperWolf,2024-12,22686.0,19.0,22686.0,0.0,0.0,0.0,1
SSSniperWolf,2025-03,627.0,66.75,26.75,47.75,548.25,4.25,4
Summit1g,2025-05,94.5625,104.3125,8.75,2.0625,83.75,0.0,16
Summit1g,2025-06,85.25,89.75,4.0,1.25,80.0,0.0,4
Syndicate,2025-05,2813.0,135.5,47.0,43.0,2720.8333333333335,2.1666666666666665,6
Syndicate,2025-06,434.2857142857143,86.21428571428571,12.571428571428571,16.428571428571427,405.2142857142857,0.07142857142857142,14
Tfue,2024-11,16512.0,27.5,452.0,121.0,15932.0,7.0,2
Tfue,2024-12,21538.25,47.75,220.75,146.75,21161.25,9.5,4
Tfue,2025-01,5783.888888888889,78.0,1184.0,219.88888888888889,4364.666666666667,15.333333333333334,9
Tfue,2025-02,19917.0,34.0,408.5,231.5,19245.5,31.5,2
Tfue,2025-05,1487.0,16.0,18.0,26.0,1442.0,1.0,1
TheGrefg,2025-05,7973.7,94.7,756.2,33.5,7181.4,2.6,10
TheGrefg,2025-06,1358.625,104.625,25.875,13.125,1318.875,0.75,8
TimTheTatman,2025-05,1556.7368421052631,119.3157894736842,50.421052631578945,53.68421052631579,1448.9473684210527,3.6842105263157894,19
TimTheTatman,2025-06,212.0,165.0,7.0,10.0,193.0,2.0,1
Valkyrae,2025-04,29483.0,26.0,409.0,236.0,28803.0,35.0,1
Valkyrae,2025-05,12459.666666666666,92.33333333333333,337.0,92.33333333333333,12014.0,16.333333333333332,6
Valkyrae,2025-06,34692.25,144.75,547.25,255.25,33847.75,42.0,4
markiplier,2023-10,54417.5,71.5,4360.0,1235.0,48297.0,525.5,2
markiplier,2023-12,2034.5,140.0,2034.5,0.0,0.0,0.0,2
markiplier,2024-03,145261.5,174.5,11780.0,2205.0,130685.5,591.0,2
markiplier,2024-05,193111.0,11.0,13225.0,4557.0,172123.0,3206.0,1
markiplier,2024-08,40797.5,73.5,1831.5,1082.0,37289.5,594.5,2
markiplier,2024-10,65114.0,222.0,3673.0,317.0,61079.0,45.0,1
markiplier,2024-11,2904.0,53.0,2904.0,0.0,0.0,0.0,1
markiplier,2024-12,289294.0,12.0,17507.0,1222.0,270258.0,307.0,1
markiplier,2025-01,144364.0,217.0,6392.0,1269.0,136541.0,162.0,1
markiplier,2025-02,1273.0,101.0,1273.0,0.0,0.0,0.0,1
markiplier,2025-05,1293.0,102.0,1293.0,0.0,0.0,0.0,1
scump,2025-05,2635.0588235294117,69.52941176470588,71.82352941176471,10.411764705882353,2549.235294117647,3.588235294117647,17
scump,2025-06,1766.3333333333333,83.66666666666667,45.0,15.333333333333334,1704.0,2.0,3
shroud,2025-04,1251.0,194.0,26.0,29.0,1195.0,1.0,1
shroud,2025-05,663.7857142857143,56.5,18.071428571428573,45.92857142857143,595.2857142857143,4.5,14
shroud,2025-06,584.0,2.0,5.0,59.0,520.0,0.0,1
