user,following,IsFollowing
Dream,Ninja,False
Dream,pewdiepie,False
Dream,Valkyrae,False
Dream,shroud,False
Dream,pokimanelol,False
Dream,DrDisrespect,False
Dream,Jacksepticeye,False
Dream,thaRadBrad,False
Dream,bugha,False
Dream,ishowspeedsui,False
Dream,TheGrefg,False
Dream,MrBeast,False
Ninja,Dream,False
Ninja,pewdiepie,False
Ninja,Valkyrae,False
Ninja,shroud,False
Ninja,pokimanelol,False
Ninja,DrDisrespect,False
Ninja,Jacksepticeye,False
Ninja,thaRadBrad,False
Ninja,bugha,True
Ninja,ishowspeedsui,False
Ninja,TheGrefg,False
Ninja,MrBeast,False
pewdiepie,Ninja,False
pewdiepie,Valkyrae,False
pewdiepie,shroud,False
pewdiepie,pokimanelol,False
pewdiepie,DrDisrespect,False
pewdiepie,Jacksepticeye,False
pewdiepie,thaRadBrad,False
pewdiepie,bugha,False
pewdiepie,ishowspeedsui,False
pewdiepie,TheGrefg,False
pewdiepie,MrBeast,False
Valkyrae,Dream,False
Valkyrae,Ninja,False
Valkyrae,pewdiepie,False
Valkyrae,shroud,False
Valkyrae,pokimanelol,True
Valkyrae,DrDisrespect,False
Valkyrae,Jacksepticeye,False
Valkyrae,thaRadBrad,False
Valkyrae,bugha,False
Valkyrae,ishowspeedsui,False
Valkyrae,TheGrefg,False
Valkyrae,MrBeast,False
shroud,Dream,False
shroud,Ninja,False
shroud,pewdiepie,False
shroud,Valkyrae,False
shroud,pokimanelol,False
shroud,DrDisrespect,False
shroud,Jacksepticeye,False
shroud,thaRadBrad,False
shroud,bugha,False
shroud,ishowspeedsui,False
shroud,TheGrefg,False
shroud,MrBeast,False
pokimanelol,Dream,False
pokimanelol,Ninja,False
pokimanelol,pewdiepie,False
pokimanelol,Valkyrae,True
pokimanelol,shroud,False
pokimanelol,DrDisrespect,False
pokimanelol,Jacksepticeye,False
pokimanelol,thaRadBrad,False
pokimanelol,bugha,False
pokimanelol,ishowspeedsui,False
pokimanelol,TheGrefg,False
pokimanelol,MrBeast,False
DrDisrespect,Dream,False
DrDisrespect,Ninja,False
DrDisrespect,pewdiepie,False
DrDisrespect,Valkyrae,False
DrDisrespect,shroud,False
DrDisrespect,pokimanelol,False
DrDisrespect,Jacksepticeye,False
DrDisrespect,thaRadBrad,False
DrDisrespect,bugha,False
DrDisrespect,ishowspeedsui,False
DrDisrespect,TheGrefg,False
DrDisrespect,MrBeast,False
Jacksepticeye,Dream,False
Jacksepticeye,Ninja,False
Jacksepticeye,pewdiepie,False
Jacksepticeye,Valkyrae,False
Jacksepticeye,shroud,True
Jacksepticeye,pokimanelol,False
Jacksepticeye,DrDisrespect,False
Jacksepticeye,thaRadBrad,False
Jacksepticeye,bugha,False
Jacksepticeye,ishowspeedsui,False
Jacksepticeye,MrBeast,False
thaRadBrad,Dream,False
thaRadBrad,Ninja,False
thaRadBrad,pewdiepie,False
thaRadBrad,Valkyrae,False
thaRadBrad,shroud,False
thaRadBrad,pokimanelol,False
thaRadBrad,DrDisrespect,False
thaRadBrad,Jacksepticeye,False
thaRadBrad,bugha,False
thaRadBrad,ishowspeedsui,False
thaRadBrad,TheGrefg,False
thaRadBrad,MrBeast,False
bugha,Dream,False
bugha,Ninja,False
bugha,pewdiepie,False
bugha,Valkyrae,False
bugha,shroud,False
bugha,pokimanelol,False
bugha,DrDisrespect,False
bugha,Jacksepticeye,False
bugha,thaRadBrad,False
bugha,ishowspeedsui,False
bugha,TheGrefg,False
bugha,MrBeast,False
ishowspeedsui,Dream,False
ishowspeedsui,Ninja,True
ishowspeedsui,pewdiepie,False
ishowspeedsui,Valkyrae,False
ishowspeedsui,shroud,False
ishowspeedsui,pokimanelol,False
ishowspeedsui,DrDisrespect,False
ishowspeedsui,Jacksepticeye,False
ishowspeedsui,thaRadBrad,False
ishowspeedsui,bugha,False
ishowspeedsui,TheGrefg,False
ishowspeedsui,MrBeast,False
TheGrefg,Dream,False
TheGrefg,Ninja,False
TheGrefg,pewdiepie,False
TheGrefg,Valkyrae,False
TheGrefg,shroud,False
TheGrefg,pokimanelol,False
TheGrefg,DrDisrespect,False
TheGrefg,Jacksepticeye,False
TheGrefg,thaRadBrad,False
TheGrefg,bugha,False
TheGrefg,ishowspeedsui,False
TheGrefg,MrBeast,False
MrBeast,Dream,True
MrBeast,Ninja,False
MrBeast,pewdiepie,False
MrBeast,Valkyrae,False
MrBeast,shroud,False
MrBeast,pokimanelol,False
MrBeast,DrDisrespect,False
MrBeast,Jacksepticeye,False
MrBeast,thaRadBrad,False
MrBeast,bugha,False
MrBeast,ishowspeedsui,False
MrBeast,TheGrefg,False
